mart,date,temp_max_c,temp_min_c,precipitation_mm,wind_speed_kmh
Athenry,2026-03-24,10.6,4.3,28.5,39.5
Ennis,2026-03-24,11.8,5.6,19.5,46.0
Kilkenny,2026-03-24,11.6,4.8,6.0,42.1
Nenagh,2026-03-24,10.9,4.3,21.9,37.0
Tuam,2026-03-24,10.8,3.8,25.1,39.9
Ballinrobe,2026-03-24,11.0,4.2,17.1,40.4
Birr,2026-03-24,11.4,4.7,17.2,43.3
Elphin,2026-03-24,10.8,3.8,14.6,35.4
Loughrea,2026-03-24,10.7,3.8,35.1,39.7
Mohill,2026-03-24,10.9,3.7,16.9,32.3
Raphoe,2026-03-24,10.4,3.3,5.3,33.0
Roscommon,2026-03-24,10.6,3.5,20.0,36.8
Roscrea,2026-03-24,10.9,3.4,14.7,42.6
Balla,2026-03-24,11.1,4.0,15.4,34.6
Clogher,2026-03-24,10.7,2.8,15.0,29.3
Corrin,2026-03-24,11.1,3.2,7.8,40.1
Iveragh,2026-03-24,10.1,3.5,18.6,34.7
Portumna,2026-03-24,11.2,4.8,19.6,42.6
Rathfriland,2026-03-24,10.6,3.2,17.7,30.2
Ballinasloe,2026-03-24,11.1,3.8,26.2,43.6
Ballymahon LWFM,2026-03-24,11.0,3.1,28.2,41.8
Ballymote,2026-03-24,10.6,3.2,10.3,36.5
Baltinglass,2026-03-24,11.6,4.8,5.8,36.2
Carnew,2026-03-24,11.2,4.4,4.9,37.8
Carrigallen,2026-03-24,10.5,3.7,15.0,32.9
Cashel,2026-03-24,11.7,4.9,8.9,42.5
Castlerea,2026-03-24,10.4,3.6,15.3,37.6
Donegal,2026-03-24,9.8,3.1,17.8,34.5
Drumshanbo,2026-03-24,10.1,3.2,13.3,31.1
Granard,2026-03-24,10.7,2.8,25.4,33.9
Headford,2026-03-24,10.9,5.2,22.5,42.1
Kilfenora,2026-03-24,10.2,4.4,47.2,46.4
Kilrush,2026-03-24,11.4,4.3,29.0,50.1
Lisnaskea,2026-03-24,10.4,3.1,15.8,27.1
Mid Tipp Mart,2026-03-24,11.1,4.6,7.9,39.0
Midland and Western,2026-03-24,11.0,3.1,28.2,41.8
Scarriff,2026-03-24,10.9,4.6,23.8,37.9
Birr,2026-03-25,7.6,2.7,1.4,37.1
Granard,2026-03-25,6.7,2.0,3.4,39.1
Kilrush,2026-03-25,7.7,3.7,4.9,46.7
Mid Tipp Mart,2026-03-25,7.2,2.2,1.2,37.6
Portumna,2026-03-25,7.8,2.8,0.9,38.6
Roscrea,2026-03-25,6.3,1.5,3.8,39.4
Balla,2026-03-25,7.7,3.4,1.1,36.2
Ballinasloe,2026-03-25,7.5,2.7,1.5,37.5
Ballinrobe,2026-03-25,7.9,3.7,1.1,39.4
Corrin,2026-03-25,7.1,2.5,3.7,38.6
Elphin,2026-03-25,7.3,2.8,2.7,41.1
